Description	Symbol	Security	Subcategory	Type	Bid	Ask	Close	Cur. Price	yo	Saxo	locomotive	Livre A	coucou	cheval A	CHECKBOX	Subsequent Amount	Region	Non-redeemable	Maturity	Market	Interest	Initial Amount	Frequency	Financial Instrument	Dividend Date	Dividend	MY (%)	YTM - Market (%)	Exclude from Billing
AGF ACT MDL -X	AGF145C	995567	Global Equity Funds	3807500	20.19	20.19	20.19	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ACT MDL RER /N	AGF307	994250	Global Equity Funds	3807500	5.82	5.82	5.82	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	06/12/2003	0	n/a		No
AGF ACT MDL RER S/N	AGF308	994249	Global Equity Funds	3807500	5.82	5.82	5.82	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AGG GL STK /D/N	AGF695	998275	Global Equity Funds	3807500	6.72	6.72	6.72	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AGG GL STK /LL/N	AGF258	972962	Global Equity Funds	3807500	6.72	6.72	6.72	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AGG US GW /N	AGF789	998272	North American Equity Funds	3807350	16.74	16.74	16.74	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AGG US GW /D/N	AGF680	998271	US Equity Funds	3807350	16.74	16.74	16.74	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AGGR JPN CL /N	AGF266	988589	Asia-Pacific Rim Equity Funds	3807410	1.75	1.75	1.75	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AME GW /N	AGF201	981230	US Equity Funds	3807250	16.56	16.56	16.56	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AME GW /D/N	AGF931	991077	US Equity Funds	3807250	16.56	16.56	16.56	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF AMER GWTH /D	AGF931C	991076	US Equity Funds	3807250	20.05	20.05	20.05	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ASIAN GW /N	AGF214	981236	Asia-Pacific Rim Equity Funds	3807420	11.34	11.34	11.34	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ASIAN GW /D/N	AGF944	980983	Asia-Pacific Rim Equity Funds	3807420	11.34	11.34	11.34	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN BAL /D/N	AGF980	990969	Balanced Funds	3807720	22.23	22.23	22.23	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.106	0.48		No
AGF CDN BAL VAL /D/N	AGF683	981088	Balanced Funds	3807720	6	6	6	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.01	2		No
AGF CDN BD /D/N	AGF933	991066	Canadian Bonds & Income Funds	3807700	5.72	5.72	5.72	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.042	8.86		No
AGF CDN BND AA-B/D/N	AGF936	991138	Canadian Bonds & Income Funds	3807700	5.72	5.72	5.72	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.042	8.86		No
AGF CDN BND FUND DSC		6754	Investment Funds	380	5.23	5.23	5.23	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN BND-A/A-B	AGF936C	981008	Canadian Bonds & Income Funds	3807700	5.57	5.57	5.57	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN BND-B /D	AGF933C	991067	Canadian Bonds & Income Funds	3807700	5.56	5.56	5.56	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN C.I.M.I./D/N	AGF945	991125	Canadian Bonds & Income Funds	3807703	8.95	8.95	8.95	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.017	2.28		No
AGF CDN CONV INCM /D	AGF945C	991126	Canadian Bonds & Income Funds	3807705	9.05	9.05	9.05	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN EQTY FND-A *		991069	Canadian Equity Funds	3807150	14.72	14.72	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN EQUITY FUND DSC		6756	Investment Funds	380	9.82	9.82	9.82	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN GW EQ /D/N	AGF934	991064	Canadian Equity Funds	3807152	52.52	52.52	52.52	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN H/Y BD /N	AGF419	995320	Bond Funds	3807680	6.15	6.15	6.15	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.074	14.35		No
AGF CDN H/Y BD /D/N	AGF420	995321	Bond Funds	3807680	6.15	6.15	6.15	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.074	14.35		No
AGF CDN L/C DIV /D/N	AGF676	981044	Dividend Funds	3807154	35.45	35.45	35.45	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.074	0.21		No
AGF CDN L/C DV-V/D/N	AGF3102	972396	Canadian Equity Funds	3807154	11.15	11.15	11.15	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/11/2009	0.04	4.32		No
AGF CDN M/M-AA /D/N	AGF942	991136	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	01/25/2010	0	0		No
AGF CDN MNY MKT /D/N	AGF930	991106	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	01/25/2010	0	0		No
AGF CDN RES /N	AGF210	981224	Canadian Resource Equity Funds	3807200	48.55	48.55	48.55	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN RES /D/N	AGF940	991072	Canadian Resource Equity Funds	3807200	48.55	48.55	48.55	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN S/C /LL/N	AGF259	972947	Canadian Equity Funds	3807152	6.79	6.79	6.79	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN STK /N	AGF781	981039	Canadian Equity Funds	3807154	44.06	44.06	44.06	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN STK /D/N	AGF681	981040	Canadian Equity Funds	3807154	44.06	44.06	44.06	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN STK-AA /D/N	AGF937	991140	Canadian Equity Funds	3807154	44.06	44.06	44.06	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CDN VAL /D/N	AGF386	995486	Canadian Equity Funds	3807154	20.19	20.19	20.19	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.498	2.46		No
AGF CHINA FOC /N	AGF801	981240	Asia-Pacific Rim Equity Funds	3807430	17.91	17.91	17.91	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CHINA FOC D/N	AGF802	980963	Asia-Pacific Rim Equity Funds	3807430	17.91	17.91	17.91	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CONV INCME FD-DSC		6732	Common Stock		9.66	9.66	9.66	CAD								n/a	CA	No		MU	0	n/a	0	Equity		0	n/a		No
AGF CROIS ASIAT /S	CAGF944	6681	Asia-Pacific Rim Equity Funds	3807400	9.33	9.33	9.33	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF CROIS ASIAT /S	AGF944C	980981	Asia-Pacific Rim Equity Funds	3807400	9.16	9.16	9.16	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF DIR CHINE /S	AGF802C	991081	Asia-Pacific Rim Equity Funds	3807400	6.8	6.8	6.8	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF DIV CDN /S	AGF676C	981042	Dividend Funds	3807650	28.3	28.3	28.3	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF DIV INCM /D/N	AGF699	973355	Dividend Funds	3807725	11.63	11.63	11.63	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	11/30/2009	0.028	2.9		No
AGF ELM BAL /N	AGF483	939290	Balanced Funds	3807550	10.44	10.44	10.44	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/23/2008	0.047	0.45		No
AGF ELM CONS /D/N	AGF568	939287	International Bonds & Income Funds	3807751	10.23	10.23	10.23	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/29/2009	0.031	0.3		No
AGF ELM GL /LL/N	AGF449	939314	Global Equity Funds	3807500	9.48	9.48	9.48	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF ELM YLD /LL/N	AGF398	939318	International Bonds & Income Funds	3807751	9.88	9.88	9.88	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/29/2009	0.04	4.83		No
AGF EMRG MKT /N	AGF791	998268	International Equity Funds	3807310	10	10	10	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/19/2008	0.031	0.31		No
AGF EQL MDE /S/N	AGF679	981066	Balanced Funds	3807550	14.28	14.28	14.28	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	10/02/2003	0	n/a		No
AGF EURO EQ /N	AGF811	981242	European Equity Funds	3807450	25.22	25.22	25.22	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF EURO EQ /D/N	AGF812	980955	European Equity Funds	3807450	25.22	25.22	25.22	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF EURO EQ U$ /D/N	AGF712	980961	European Equity Funds	3807450	23.84	23.84	23.84	USD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF FD JAPON RER/S/N	AGF433	981541	Asia-Pacific Rim Equity Funds	3807410	3.07	3.07	3.07	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GERMANY-B D/N	AGF970	991129	Special Funds	3807950	33.71	33.71	33.71	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL EQ /D/N	AGF960	991011	Global Equity Funds	3807500	8.46	8.46	8.46	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL EQ /D/N	AGF304	994245	Global Equity Funds	3807500	16.42	16.42	16.42	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL GOVT BD D/N	AGF148	995539	International Bonds & Income Funds	3807750	11.11	11.11	11.11	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/18/2009	0.028	2.99		No
AGF GL PERSP CL /D/N	AGF965	988586	Global Equity Funds	3807500	3.06	3.06	3.06	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL PERSPC/LL/D/N	AGF290	972980	Global Equity Funds	3807500	3.06	3.06	3.06	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL R/E EQ /D/N	AGF916	990070	Real Estate Funds	3807640	8.67	8.67	8.67	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL VAL /N	AGF782	981033	Global Equity Funds	3807500	26.96	26.96	26.96	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/18/2009	0.12	0.45		No
AGF GL VAL /D/N	AGF682	981034	Global Equity Funds	3807500	26.96	26.96	26.96	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/18/2009	0.12	0.45		No
AGF GL VAL /LL/N	AGF284	972974	Global Equity Funds	3807500	5.05	5.05	5.05	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL VAL CL /D/N	AGF952	974945	Global Equity Funds	3807500	5.05	5.05	5.05	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF GL VAL U$ D/N	AGF582	981036	Global Equity Funds	3807500	25.48	25.48	25.48	USD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/18/2009	0.113	0.44		No
AGF H/INCM-A		991114	Canadian Equity Funds	3807152	8.83	8.83	8.83	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF HIGH INCOME FD-DSC		6706	Investment Funds	380	9.71	9.71	9.71	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF INTL STK /N	AGF255	998523	International Equity Funds	3807300	10.57	10.57	10.57	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF INTL STK /D/N	AGF955	998517	International Equity Funds	3807300	10.57	10.57	10.57	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF INTL STK U$ /D/N	AGF655	998522	International Equity Funds	3807300	9.99	9.99	9.99	USD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF INTL VAL /D	AGF682C	981030	Global Equity Funds	3807500	36.96	36.96	36.96	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JAPAN /N	AGF211	981234	Asia-Pacific Rim Equity Funds	3807410	3.12	3.12	3.12	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JAPAN CL /D/N	AGF941	991117	Asia-Pacific Rim Equity Funds	3807410	3.12	3.12	3.12	CAD								n/a	ZZ	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JPN CLS-A /N *		991115	Asia-Pacific Rim Equity Funds	3807400	6.1	6.1	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JPN FD /S	AGF941C	991116	Asia-Pacific Rim Equity Funds	3807400	3.62	3.62	3.62	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JPN FND CLS-A *		991112	Asia-Pacific Rim Equity Funds	3807400	5.65	5.65	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF JPN-A	AGF211C	981212	Asia-Pacific Rim Equity Funds	3807400	4.72	4.72	4.72	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF M/M A/A-B CDN	AGF942C	991103	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF MANAGEMENT LTD-B NV	AGF.B	21915	Common Stock	315	15.57	15.66	15.64	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	01/07/2010	0.25	6.39		No
AGF MASTER LPU	AFP.UN	21917	Common Stock	3308002	0.425	0.45	0.45	CAD								n/a	CA	No		TSE	0	n/a	1	Equity	12/29/2009	0.2	44.4		No
AGF MDL OBL GOV-X	AGF589C	995478	International Bonds & Income Funds	3807750	10.22	10.22	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF MMKT ACCT-B- DSC-NCI	NAGF93	6708	Investment Funds	3807000	10	10	10	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF MMKT ACT-B- DSC	AGF930	991107	Investment Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	07/28/2004	0.01	0		No
AGF MNGD FUT /N	AGF794	998279	Alternative Investment Funds	3807610	0.48	0.48	0.48	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF OBL GOUV GL*/S/N	AGF687	981018	International Bonds & Income Funds	3807750	9.62	9.62	9.62	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	07/06/2001	0	n/a		No
AGF OBL GOUV GLB /S	AGF687C	981014	International Bonds & Income Funds	3807750	10.49	10.49	10.49	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF OBL GOUV GLB /S*		981011	International Bonds & Income Funds	3807750	10.83	10.83	10.83	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF P/CAP CDN S/N	AGF306	994251	Canadian Equity Funds	3807150	10.69	10.69	10.69	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF PERSPECT CDN S/N	AGF428	994414	Canadian Equity Funds	3807150	13.26	13.26	13.26	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	01/09/2002	0	n/a		No
AGF PREC MTL /N	AGF333	995418	Canadian Resource Equity Funds	3807670	28.25	28.25	28.25	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF PREC MTL /D/N	AGF334	995419	Canadian Resource Equity Funds	3807670	28.25	28.25	28.25	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF R/ACTIF EURO/S/N	AGF670	981074	Asset Allocation Funds	3807600	5.64	5.64	5.64	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	08/15/2002	0	n/a		No
AGF RER AMER CROI /N	AGF410	981549	US Equity Funds	3807250	2.97	2.97	2.97	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF RER MOND OBL DSC	AGF671	981022	Investment Funds	3807750	4.73	4.73	4.73	CAD								n/a	CA	No		M	0	n/a	0	Mutual Fund		0	n/a		No
AGF RER OBL MDL *S/N	AGF671	981024	International Bonds & Income Funds	3807750	4.5	4.5	4.5	CAD								n/a	CA	No			0	n/a	0	Mutual Fund	07/06/2001	0	n/a		No
AGF RER REV GLB-A *		991018	International Bonds & Income Funds	3807750	11.85	11.85	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF RES CDN /S	AGF940C	991073	Canadian Resource Equity Funds	3807200	15.94	15.94	15.94	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF RSA AMER SP /S	AGF780	980997	Investment Funds	3807600	23.57	23.57	23.57	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.223	0.95		No
AGF RSA CDN /S	AGF683C	981086	Asset Allocation Funds	3807600	7.29	7.29	7.29	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF RSP EURO EQT D/N	AGF432	981542	European Equity Funds	3807450	5.87	5.87	5.87	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF RSP GLBL BND D/N	AGF572	995516	International Bonds & Income Funds	3807750	10.27	10.27	10.27	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	04/30/2008	0.013	1.52		No
AGF RSP INTL VAL/D/N	AGF434	970789	Global Equity Funds	3807500	5.18	5.18	5.18	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF SOC MDL RER S/N	AGF310	970930	Global Equity Funds	3807500	4.64	4.64	4.64	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF SPEC FND-C *		990992	US Equity Funds	3807250	5.53	5.53	0	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF SPEC US CL-A /N	AGF202	981232	US Equity Funds	3807255	6.9	6.9	6.9	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF SPEC US CL-A /N*		981007	US Equity Funds	3807250	12.76	12.76	12.76	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF VAL CDN /S	AGF386C	995480	Canadian Equity Funds	3807150	17.71	17.71	17.71	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF VAL INTL RER /N	AGF414	970788	Global Equity Funds	3807500	5.18	5.18	5.18	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF WRLD BAL /N	AGF784	981081	Balanced Funds	3807520	16.31	16.31	16.31	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.223	1.37		No
AGF WRLD BAL /D/N	AGF684	981082	Balanced Funds	3807520	16.31	16.31	16.31	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/18/2009	0.223	1.37		No
AGF WRLD BAL /D/N	AGF780	981097	Balanced Funds	3807520	16.31	16.31	16.31	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGF WRLD BAL /LLN	AGF253	972959	Balanced Funds	3807520	16.31	16.31	16.31	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.223	1.37		No
AGILENT TECHNOLOGIES INC	A	7145	Common Stock	315	29.44	29.45	29.45	USD								n/a	US	No		NYS	0	n/a	0	Equity		0	n/a		No
AGL RES INC	AGL	618	Common Stock	315	35.88	35.91	35.91	USD								n/a	US	No		NYS	0	n/a	4	Equity	11/10/2009	0.43	4.79		No
AGNI-EA CV RD 4.5%15FB12S	AEM.DB.U	R04001	Bonds (other)	2756000	100	0	0	USD								n/a	CA	No	02/15/2012	TSE	4.5	n/a	2	Bond		0	4.5	4.498695	No
AGNICO-EAGLE MINES LTD	AEM	6882	Common Stock	315	56.05	56.24	56.1	CAD								n/a	CA	No		TSE	0	n/a	1	Equity	03/11/2009	0.18	0.34		No
AGRIUM INC	AGU	6906	Common Stock	315	62.3	62.5	62.38	CAD								n/a	CA	No		TSE	0	n/a	2	Equity	12/23/2009	0.055	0.19		No
AGS ENERGY 2005-1 F/T LPU		2250	Common Stock	3308002	13.93	13.93	13.93	CAD								n/a	CA	No			0	n/a	0	Equity		0	n/a		No
AGS LAW RES LTD/NL/N	CGS301	944078	Alternative Investment Funds	3807610	16.095	16.095	16.095	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AGT BEO CB 8.8% 22SP25		R00080	Corporate Bonds	2606000	126.52	126.52	126.52	CAD								n/a	CA	No	09/22/2025		8.8	n/a	2	Bond		0	6.96	6.138205	No
AIC ADVANTAGE I /N	AIC715	981116	Canadian Equity Funds	3807154	67.9	67.9	67.9	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/19/2008	0.376	0.55		No
AIC ADVTG /D/N	AIC116	991206	Canadian Equity Funds	3807154	67.9	67.9	67.9	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/19/2008	0.376	0.55		No
AIC ADVTG II /N	AIC119	990853	Canadian Equity Funds	3807154	8.07	8.07	8.07	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC ADVTG II /D/N	AIC120	990854	Canadian Equity Funds	3807154	8.07	8.07	8.07	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC AM ADV US$ D/N	AIC910	990144	Global Equity Funds	3807620	4.104	4.104	4.104	USD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC AM ADVTG /D/N	AIC310	993537	Global Equity Funds	3807620	4.34	4.34	4.34	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC AM FOC /D/N	AIC336	970521	US Equity Funds	3807250	3.89	3.89	3.89	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC AVANT /S	AIC116C	991205	Canadian Equity Funds	3807150	67.67	67.67	67.67	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC BND /D/N	AIC322	982643	Canadian Bonds & Income Funds	3807700	5.85	5.85	5.85	CAD								n/a	CA	No			0	n/a	4	Mutual Fund	12/31/2009	0.042	2.9		No
AIC CDN BAL /D/N	AIC402	993226	Balanced Funds	3807720	4.91	4.91	4.91	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/24/2009	0.072	1.47		No
AIC CDN FOC /D/N	AIC314	989044	Canadian Equity Funds	3807154	7.27	7.27	7.27	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/19/2008	0.245	3.36		No
AIC COP ITL D/I /D/N	AIC234	991212	International Equity Funds	3807300	10.82	10.82	10.82	CAD								n/a	ZZ	No			0	n/a	1	Mutual Fund	12/24/2009	0.164	1.52		No
AIC DIVF CDA SPLIT PRF S*	ADC.PR.A	330	Split Preferred Shares	3108005	25.12	25.29	25.12	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	06/25/2009	0.375	5.97		No
AIC DVF CDA CC /D/N	AIC2302	984819	Canadian Equity Funds	3807154	4.39	4.39	4.39	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/31/2009	0.064	1.47		No
AIC DVSF CDA /N	AIC301	992572	Canadian Equity Funds	3807154	35.36	35.36	35.36	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC DVSF CDA /D/N	AIC302	992573	Canadian Equity Funds	3807154	35.36	35.36	35.36	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC DVSFD SC&TEC/D/N	AIC338	989977	Miscellaneous	3807170	1.04	1.04	1.04	CAD								n/a	ZZ	No			0	n/a	0	Other		0	n/a		No
AIC GL FOC /LL/N	AIC318	959364	Global Equity Funds	3807500	10.43	10.43	10.43	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/21/2007	0.127	1.21		No
AIC GLOBAL FINCL SPLIT A	ASC	2102	Common Stock	3308005	1.1	1.5	1.1	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/29/2009	0.131	47.73		No
AIC GLOBAL FINCL SPLIT PF	ASC.PR.A	2103	Preferred Shares	3108005	9.15	9.32	9.2	CAD								n/a	CA	No		TSE	0	n/a	4	Equity	12/29/2009	0.131	5.71		No
AIC INTL RES CORP	AIREF	321	Common Stock	330	0	0	0	CAD								n/a	CA	No		NAS	0	n/a	0	Equity		0	n/a		No
AIC MNY MKT /N	AIC731	991085	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0	0.06		No
AIC MNY MKT /D/N	AIC232	991223	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0	0.06		No
AIC MNY MKT CC /N	AIC2731	984643	Canadian Money Market Funds	3807850	5.903	5.903	5.903	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC RER ACT MOND D/N	AIC450	981470	International Equity Funds	3807300	3.07	3.07	3.07	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC RER AVAN MON/S/N	AIC446	981476	International Equity Funds	3807300	2.75	2.75	2.75	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC RER DV SC TC S/N	AIC456	989980	Global Equity Funds	3807170	1.46	1.46	1.46	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC RSP AM FOC /D/N	AIC454	970525	US Equity Funds	3807250	5.88	5.88	5.88	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC VAL /N	AIC117	991202	US Equity Funds	3807250	19.04	19.04	19.04	CAD								n/a	CA	No			0	n/a	0	Mutual Fund		0	n/a		No
AIC VAL /D/N	AIC118	991208	US Equity Funds	3807250	19.04	19.04	19.04	CAD								n/a	US	No			0	n/a	0	Mutual Fund		0	n/a		No
AIM CDA MNY MKT /N	AIM023	994241	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0	0.05		No
AIM CDA MNY MKT /D/N	AIM021	994240	Canadian Money Market Funds	3807850	10	10	10	CAD								n/a	CA	No			0	n/a	12	Mutual Fund	12/31/2009	0	0.05		No
AIM CDN BAL /D/N	AIM598	980947	Balanced Funds	3807720	28.051	28.051	28.051	CAD								n/a	CA	No			0	n/a	1	Mutual Fund	12/18/2009	0.223	0.79		No
